CheckpointID,SimulationID,Zone,Clock.Today,Maize.Phenology.CurrentStageName,Maize.AboveGround.Wt,Maize.AboveGround.N,Yield,Maize.Grain.Wt,Maize.Grain.Size,Maize.Grain.NumberFunction,Maize.Grain.Total.Wt,Maize.Grain.N,Maize.Total.Wt,year,rain,source_table
1,1,Field,2007-09-01 00:00:00,HarvestRipe,2120.8674191485084,24.018387501009173,11508.575616656417,1150.8575616656417,0.2581804621563253,4457.570305877021,1150.8575616656417,15.567493841850393,2258.4312653948805,2007,0.0,Report
1,1,Field,2008-10-23 00:00:00,HarvestRipe,2391.236770873163,14.779354067427944,10898.016668133905,1089.8016668133905,0.2801760784867592,3889.7027637029096,1089.8016668133905,10.498048123716499,2497.085978298859,2008,9.609999656677246,Report
1,1,Field,2009-10-09 00:00:00,HarvestRipe,1840.8925453977258,10.761498328968273,7772.1382093289285,777.2138209328929,0.2012591736401766,3861.7559978778563,777.2138209328929,7.203337756635449,1919.3934234105568,2009,0.1599999964237213,Report
1,1,Field,2010-09-03 00:00:00,HarvestRipe,1553.0790564269714,9.401608339745186,6447.472194388207,644.7472194388207,0.15011236524649632,4295.09733178939,644.7472194388207,5.992528854709461,1647.8399725355334,2010,0.0,Report
1,1,Field,2011-09-13 00:00:00,HarvestRipe,1641.795088260082,9.392037670224713,6751.6649301266125,675.1664930126612,0.16821822689159271,4013.634583413892,675.1664930126612,6.005511057703932,1723.8265668346364,2011,0.05999999865889549,Report
1,1,Field,2012-08-03 00:00:00,HarvestRipe,819.4626875326303,8.631844273747209,3837.2721518878466,383.72721518878467,0.299816883873743,1279.8719345985114,383.72721518878467,5.029278976514648,837.0197102834443,2012,0.029999999329447746,Report
1,1,Field,2013-09-21 00:00:00,HarvestRipe,1750.4472480379459,14.794640192519845,8350.617075760245,835.0617075760244,0.18898694797812773,4418.621055633269,835.0617075760244,10.654931782811092,1885.2307902429195,2013,0.0,Report
1,1,Field,2014-10-02 00:00:00,HarvestRipe,2387.8419725245653,16.91788211584799,11438.035801139293,1143.8035801139292,0.2780159662194831,4114.165080759928,1143.8035801139292,12.168246832796589,2495.832864135294,2014,10.170000076293945,Report
1,1,Field,2016-08-17 00:00:00,HarvestRipe,2102.277137196854,20.18130279964324,12487.825734769785,1248.7825734769785,0.28697515821949443,4351.5354472662775,1248.7825734769785,15.982192998822315,2200.484192502685,2016,3.549999952316284,Report
1,1,Field,2019-09-21 00:00:00,HarvestRipe,2340.8502721868203,22.81872968151827,12735.940945462538,1273.594094546254,0.3004128919982545,4239.478825541395,1273.594094546254,16.576726044988167,2444.589693035741,2019,34.86000061035156,Report
1,1,Field,2021-09-04 00:00:00,HarvestRipe,2005.9833461072224,12.452727036655446,9123.21823159113,912.321823159113,0.24076535937365381,3789.2569991484643,912.321823159113,9.11162769552044,2108.9774357664915,2021,0.12999999523162842,Report
