SimulationName,SimulationID,Amount,CheckpointID,CheckpointName,Clock.Today,CultivarName,Experiment,Maize.AboveGround.N,Maize.AboveGround.Wt,Maize.Grain.N,Maize.Grain.NumberFunction,Maize.Grain.Size,Maize.Grain.Total.Wt,Maize.Grain.Wt,Maize.Phenology.CurrentStageName,Maize.Total.Wt,Yield,Zone
ExperimentAmount0CultivarNamePioneer_34K77,7,0,1,Current,1992-03-13,Pioneer_34K77,Experiment,0.489,77.451,0.327,149.983,0.236,35.376,35.376,HarvestRipe,79.745,353.759,Field
ExperimentAmount0CultivarNamePioneer_34K77,7,0,1,Current,1993-02-19,Pioneer_34K77,Experiment,1.748,282.531,1.095,1459.803,0.082,119.640,119.640,HarvestRipe,317.792,1196.404,Field
ExperimentAmount0CultivarNamePioneer_34K77,7,0,1,Current,1994-02-17,Pioneer_34K77,Experiment,0.736,117.309,0.481,828.075,0.072,59.328,59.328,HarvestRipe,121.915,593.281,Field
ExperimentAmount0CultivarNamePioneer_34K77,7,0,1,Current,1995-03-09,Pioneer_34K77,Experiment,4.724,706.986,3.008,3083.542,0.102,314.871,314.871,HarvestRipe,795.599,3148.705,Field
ExperimentAmount0CultivarNamePioneer_34K77,7,0,1,Current,1996-02-18,Pioneer_34K77,Experiment,1.809,324.528,1.049,1210.094,0.097,117.200,117.200,HarvestRipe,347.287,1171.996,Field
ExperimentAmount0CultivarNamePioneer_34K77,7,0,1,Current,1997-03-10,Pioneer_34K77,Experiment,3.926,567.983,2.598,2571.786,0.105,269.708,269.708,HarvestRipe,641.305,2697.075,Field
ExperimentAmount0CultivarNamePioneer_34K77,7,0,1,Current,1998-02-12,Pioneer_34K77,Experiment,1.171,186.430,0.833,1732.237,0.058,99.813,99.813,HarvestRipe,201.199,998.134,Field
ExperimentAmount0CultivarNamePioneer_34K77,7,0,1,Current,1999-03-15,Pioneer_34K77,Experiment,5.194,728.293,3.367,3273.671,0.102,334.262,334.262,HarvestRipe,809.868,3342.624,Field
ExperimentAmount0CultivarNamePioneer_34K77,7,0,1,Current,2000-03-11,Pioneer_34K77,Experiment,1.626,267.752,0.923,2118.176,0.054,115.371,115.371,HarvestRipe,292.772,1153.713,Field
ExperimentAmount300CultivarNameB_110,5,300,1,Current,1991-05-04,B_110,Experiment,17.058,1475.998,13.056,3640.643,0.267,973.530,973.530,HarvestRipe,1541.650,9735.304,Field
ExperimentAmount300CultivarNameB_110,5,300,1,Current,1992-03-21,B_110,Experiment,7.307,629.521,4.716,1283.945,0.249,319.722,319.722,HarvestRipe,679.624,3197.219,Field
ExperimentAmount300CultivarNameB_110,5,300,1,Current,1993-02-27,B_110,Experiment,2.966,262.248,1.594,479.422,0.276,132.433,132.433,HarvestRipe,300.002,1324.329,Field
ExperimentAmount300CultivarNameB_110,5,300,1,Current,1994-02-25,B_110,Experiment,6.765,531.406,4.891,2154.787,0.141,304.463,304.463,HarvestRipe,544.870,3044.626,Field
ExperimentAmount300CultivarNameB_110,5,300,1,Current,1995-03-16,B_110,Experiment,14.618,1236.988,10.262,3220.144,0.221,710.522,710.522,HarvestRipe,1322.147,7105.220,Field
ExperimentAmount300CultivarNameB_110,5,300,1,Current,1996-02-25,B_110,Experiment,20.649,1872.849,14.820,3838.751,0.299,1145.888,1145.888,HarvestRipe,1975.767,11458.878,Field
ExperimentAmount300CultivarNameB_110,5,300,1,Current,1997-03-17,B_110,Experiment,13.537,1125.274,8.930,3591.243,0.163,584.070,584.070,HarvestRipe,1230.550,5840.698,Field
ExperimentAmount300CultivarNameB_110,5,300,1,Current,1998-02-18,B_110,Experiment,10.299,840.414,6.816,3106.189,0.135,419.000,419.000,HarvestRipe,904.692,4190.002,Field
ExperimentAmount300CultivarNameB_110,5,300,1,Current,1999-03-20,B_110,Experiment,19.624,1634.613,14.861,4200.000,0.258,1085.570,1085.570,HarvestRipe,1713.375,10855.697,Field
ExperimentAmount300CultivarNameB_110,5,300,1,Current,2000-03-16,B_110,Experiment,16.130,1410.905,11.500,3684.977,0.228,840.713,840.713,HarvestRipe,1502.741,8407.127,Field
ExperimentAmount300CultivarNameDekalb_XL82,4,300,1,Current,1991-05-28,Dekalb_XL82,Experiment,17.315,1603.310,11.178,3043.698,0.278,846.962,846.962,HarvestRipe,1728.427,8469.616,Field
ExperimentAmount300CultivarNameDekalb_XL82,4,300,1,Current,1992-04-09,Dekalb_XL82,Experiment,8.967,783.705,5.848,1634.324,0.268,437.635,437.635,HarvestRipe,849.008,4376.352,Field
ExperimentAmount300CultivarNameDekalb_XL82,4,300,1,Current,1993-03-16,Dekalb_XL82,Experiment,1.916,181.708,0.741,179.791,0.304,54.672,54.672,HarvestRipe,202.887,546.721,Field
ExperimentAmount300CultivarNameDekalb_XL82,4,300,1,Current,1994-03-15,Dekalb_XL82,Experiment,8.342,794.996,4.885,1544.775,0.227,350.320,350.320,HarvestRipe,869.100,3503.196,Field
ExperimentAmount300CultivarNameDekalb_XL82,4,300,1,Current,1995-04-04,Dekalb_XL82,Experiment,16.480,1525.004,10.463,2858.960,0.274,781.939,781.939,HarvestRipe,1665.351,7819.393,Field
ExperimentAmount300CultivarNameDekalb_XL82,4,300,1,Current,1996-03-15,Dekalb_XL82,Experiment,18.309,1968.464,11.254,2945.309,0.300,882.353,882.353,HarvestRipe,2124.743,8823.529,Field
ExperimentAmount300CultivarNameDekalb_XL82,4,300,1,Current,1997-04-05,Dekalb_XL82,Experiment,10.587,1081.778,4.692,1181.758,0.299,353.449,353.449,HarvestRipe,1229.111,3534.485,Field
ExperimentAmount300CultivarNameDekalb_XL82,4,300,1,Current,1998-03-06,Dekalb_XL82,Experiment,8.154,837.958,3.940,961.667,0.305,293.571,293.571,HarvestRipe,951.441,2935.709,Field
ExperimentAmount300CultivarNameDekalb_XL82,4,300,1,Current,1999-04-10,Dekalb_XL82,Experiment,17.892,1835.703,11.080,2808.249,0.298,837.931,837.931,HarvestRipe,1986.931,8379.306,Field
ExperimentAmount300CultivarNameDekalb_XL82,4,300,1,Current,2000-04-05,Dekalb_XL82,Experiment,15.802,1485.572,9.340,2431.792,0.291,708.706,708.706,HarvestRipe,1633.687,7087.057,Field
ExperimentAmount300CultivarNameMelkassa,8,300,1,Current,1991-04-25,Melkassa,Experiment,13.982,1529.699,8.831,2118.612,0.326,691.128,691.128,HarvestRipe,1660.335,6911.278,Field
ExperimentAmount300CultivarNameMelkassa,8,300,1,Current,1992-03-13,Melkassa,Experiment,5.949,691.279,3.126,829.869,0.320,265.884,265.884,HarvestRipe,762.872,2658.836,Field
ExperimentAmount300CultivarNameMelkassa,8,300,1,Current,1993-02-19,Melkassa,Experiment,2.471,205.008,1.144,270.242,0.316,85.422,85.422,HarvestRipe,233.327,854.221,Field
ExperimentAmount300CultivarNameMelkassa,8,300,1,Current,1994-02-16,Melkassa,Experiment,7.525,726.402,4.844,1213.877,0.292,354.627,354.627,HarvestRipe,798.086,3546.265,Field
ExperimentAmount300CultivarNameMelkassa,8,300,1,Current,1995-03-08,Melkassa,Experiment,12.247,1349.173,7.330,1824.853,0.329,601.228,601.228,HarvestRipe,1480.433,6012.282,Field
ExperimentAmount300CultivarNameMelkassa,8,300,1,Current,1996-02-16,Melkassa,Experiment,13.736,1538.589,7.112,1694.103,0.331,560.582,560.582,HarvestRipe,1700.637,5605.822,Field
ExperimentAmount300CultivarNameMelkassa,8,300,1,Current,1997-03-08,Melkassa,Experiment,11.297,1163.249,6.110,1441.250,0.329,474.006,474.006,HarvestRipe,1323.436,4740.055,Field
ExperimentAmount300CultivarNameMelkassa,8,300,1,Current,1998-02-10,Melkassa,Experiment,9.309,864.606,5.637,1407.230,0.291,408.985,408.985,HarvestRipe,976.764,4089.848,Field
ExperimentAmount300CultivarNameMelkassa,8,300,1,Current,1999-03-15,Melkassa,Experiment,14.578,1625.810,8.545,2068.309,0.327,677.206,677.206,HarvestRipe,1777.173,6772.056,Field
ExperimentAmount300CultivarNameMelkassa,8,300,1,Current,2000-03-11,Melkassa,Experiment,14.234,1517.545,8.461,2012.113,0.332,668.703,668.703,HarvestRipe,1680.381,6687.026,Field
ExperimentAmount300CultivarNamePioneer_34K77,2,300,1,Current,1991-04-26,Pioneer_34K77,Experiment,18.769,1739.034,13.597,3838.554,0.266,1022.618,1022.618,HarvestRipe,1881.530,10226.181,Field
ExperimentAmount300CultivarNamePioneer_34K77,2,300,1,Current,1992-03-13,Pioneer_34K77,Experiment,8.362,791.036,5.479,1512.758,0.292,441.869,441.869,HarvestRipe,861.120,4418.686,Field
ExperimentAmount300CultivarNamePioneer_34K77,2,300,1,Current,1993-02-19,Pioneer_34K77,Experiment,2.614,204.834,1.370,470.611,0.195,91.762,91.762,HarvestRipe,232.550,917.619,Field
ExperimentAmount300CultivarNamePioneer_34K77,2,300,1,Current,1994-02-17,Pioneer_34K77,Experiment,8.627,776.584,5.809,2092.208,0.174,363.046,363.046,HarvestRipe,854.316,3630.457,Field
ExperimentAmount300CultivarNamePioneer_34K77,2,300,1,Current,1995-03-09,Pioneer_34K77,Experiment,17.075,1499.210,11.748,3445.828,0.248,853.232,853.232,HarvestRipe,1637.259,8532.322,Field
ExperimentAmount300CultivarNamePioneer_34K77,2,300,1,Current,1996-02-18,Pioneer_34K77,Experiment,18.782,1945.501,11.876,3106.382,0.300,932.444,932.444,HarvestRipe,2114.269,9324.440,Field
ExperimentAmount300CultivarNamePioneer_34K77,2,300,1,Current,1997-03-10,Pioneer_34K77,Experiment,13.787,1208.069,8.165,2438.165,0.234,569.427,569.427,HarvestRipe,1375.431,5694.268,Field
ExperimentAmount300CultivarNamePioneer_34K77,2,300,1,Current,1998-02-12,Pioneer_34K77,Experiment,9.512,849.936,5.618,1785.719,0.200,357.060,357.060,HarvestRipe,972.274,3570.600,Field
ExperimentAmount300CultivarNamePioneer_34K77,2,300,1,Current,1999-03-15,Pioneer_34K77,Experiment,20.540,1822.999,14.367,3749.835,0.283,1060.684,1060.684,HarvestRipe,1978.216,10606.843,Field
ExperimentAmount300CultivarNamePioneer_34K77,2,300,1,Current,2000-03-11,Pioneer_34K77,Experiment,17.945,1600.956,11.808,3578.193,0.240,860.420,860.420,HarvestRipe,1767.043,8604.205,Field
